vid,trial_number,block,inBlock_trial_number,event,frames_from_start
OH29_Infant_MassageRoller,1,1,1,grey_onset,823
OH29_Infant_MassageRoller,1,1,1,still_onset,913
OH29_Infant_MassageRoller,1,1,1,event_onset,1003
OH29_Infant_MassageRoller,1,1,1,boundary,1121
OH29_Infant_MassageRoller,1,1,1,trial_offset,1303
HH09_Adult_TwistyGlasses,2,1,2,grey_onset,1402
HH09_Adult_TwistyGlasses,2,1,2,still_onset,1492
HH09_Adult_TwistyGlasses,2,1,2,event_onset,1582
HH09_Adult_TwistyGlasses,2,1,2,boundary,1690
HH09_Adult_TwistyGlasses,2,1,2,trial_offset,1762
SF28_Adult_OballStacker,3,1,3,grey_onset,1863
SF28_Adult_OballStacker,3,1,3,still_onset,1953
SF28_Adult_OballStacker,3,1,3,event_onset,2043
SF28_Adult_OballStacker,3,1,3,boundary,2336
SF28_Adult_OballStacker,3,1,3,trial_offset,2403
AL38_Infant_Slinky,4,1,4,grey_onset,2505
AL38_Infant_Slinky,4,1,4,still_onset,2595
AL38_Infant_Slinky,4,1,4,event_onset,2685
AL38_Infant_Slinky,4,1,4,boundary,2745
AL38_Infant_Slinky,4,1,4,trial_offset,2954
CN14_Infant_StickyBall,5,1,5,grey_onset,3053
CN14_Infant_StickyBall,5,1,5,still_onset,3143
CN14_Infant_StickyBall,5,1,5,event_onset,3233
CN14_Infant_StickyBall,5,1,5,boundary,3322
CN14_Infant_StickyBall,5,1,5,trial_offset,3443
SA03_Adult_GreenTube,6,1,6,grey_onset,3544
SA03_Adult_GreenTube,6,1,6,still_onset,3634
SA03_Adult_GreenTube,6,1,6,event_onset,3724
SA03_Adult_GreenTube,6,1,6,boundary,3898
SA03_Adult_GreenTube,6,1,6,trial_offset,3994
HH09_Adult_TwistyGlasses,7,2,1,grey_onset,4334
HH09_Adult_TwistyGlasses,7,2,1,still_onset,4424
HH09_Adult_TwistyGlasses,7,2,1,event_onset,4514
HH09_Adult_TwistyGlasses,7,2,1,boundary,4622
HH09_Adult_TwistyGlasses,7,2,1,trial_offset,4694
OH29_Infant_MassageRoller,8,2,2,grey_onset,4795
OH29_Infant_MassageRoller,8,2,2,still_onset,4885
OH29_Infant_MassageRoller,8,2,2,event_onset,4975
OH29_Infant_MassageRoller,8,2,2,boundary,5093
OH29_Infant_MassageRoller,8,2,2,trial_offset,5275
AL38_Infant_Slinky,9,2,3,grey_onset,5375
AL38_Infant_Slinky,9,2,3,still_onset,5465
AL38_Infant_Slinky,9,2,3,event_onset,5555
AL38_Infant_Slinky,9,2,3,boundary,5615
AL38_Infant_Slinky,9,2,3,trial_offset,5824
SF28_Adult_OballStacker,10,2,4,grey_onset,5925
SF28_Adult_OballStacker,10,2,4,still_onset,6015
SF28_Adult_OballStacker,10,2,4,event_onset,6105
SF28_Adult_OballStacker,10,2,4,boundary,6398
SF28_Adult_OballStacker,10,2,4,trial_offset,6465
SA03_Adult_GreenTube,11,2,5,grey_onset,6566
SA03_Adult_GreenTube,11,2,5,still_onset,6656
SA03_Adult_GreenTube,11,2,5,event_onset,6746
SA03_Adult_GreenTube,11,2,5,boundary,6920
SA03_Adult_GreenTube,11,2,5,trial_offset,7016
CN14_Infant_StickyBall,12,2,6,grey_onset,7115
CN14_Infant_StickyBall,12,2,6,still_onset,7205
CN14_Infant_StickyBall,12,2,6,event_onset,7295
CN14_Infant_StickyBall,12,2,6,boundary,7384
CN14_Infant_StickyBall,12,2,6,trial_offset,7505
OH29_Infant_MassageRoller,13,3,1,grey_onset,7846
OH29_Infant_MassageRoller,13,3,1,still_onset,7936
OH29_Infant_MassageRoller,13,3,1,event_onset,8026
OH29_Infant_MassageRoller,13,3,1,boundary,8144
OH29_Infant_MassageRoller,13,3,1,trial_offset,8326
HH09_Adult_TwistyGlasses,14,3,2,grey_onset,8426
HH09_Adult_TwistyGlasses,14,3,2,still_onset,8516
HH09_Adult_TwistyGlasses,14,3,2,event_onset,8606
HH09_Adult_TwistyGlasses,14,3,2,boundary,8714
HH09_Adult_TwistyGlasses,14,3,2,trial_offset,8786
SF28_Adult_OballStacker,15,3,3,grey_onset,8887
SF28_Adult_OballStacker,15,3,3,still_onset,8977
SF28_Adult_OballStacker,15,3,3,event_onset,9067
SF28_Adult_OballStacker,15,3,3,boundary,9360
SF28_Adult_OballStacker,15,3,3,trial_offset,9427
AL38_Infant_Slinky,16,3,4,grey_onset,9529
AL38_Infant_Slinky,16,3,4,still_onset,9619
AL38_Infant_Slinky,16,3,4,event_onset,9709
AL38_Infant_Slinky,16,3,4,boundary,9769
AL38_Infant_Slinky,16,3,4,trial_offset,9978
CN14_Infant_StickyBall,17,3,5,grey_onset,10078
CN14_Infant_StickyBall,17,3,5,still_onset,10168
CN14_Infant_StickyBall,17,3,5,event_onset,10258
CN14_Infant_StickyBall,17,3,5,boundary,10347
CN14_Infant_StickyBall,17,3,5,trial_offset,10468
SA03_Adult_GreenTube,18,3,6,grey_onset,10569
SA03_Adult_GreenTube,18,3,6,still_onset,10659
SA03_Adult_GreenTube,18,3,6,event_onset,10749
SA03_Adult_GreenTube,18,3,6,boundary,10923
SA03_Adult_GreenTube,18,3,6,trial_offset,11019
HH09_Adult_TwistyGlasses,19,4,1,grey_onset,11360
HH09_Adult_TwistyGlasses,19,4,1,still_onset,11450
HH09_Adult_TwistyGlasses,19,4,1,event_onset,11540
HH09_Adult_TwistyGlasses,19,4,1,boundary,11648
HH09_Adult_TwistyGlasses,19,4,1,trial_offset,11720
OH29_Infant_MassageRoller,20,4,2,grey_onset,11820
OH29_Infant_MassageRoller,20,4,2,still_onset,11910
OH29_Infant_MassageRoller,20,4,2,event_onset,1.20E+04
OH29_Infant_MassageRoller,20,4,2,boundary,12118
OH29_Infant_MassageRoller,20,4,2,trial_offset,12300
AL38_Infant_Slinky,21,4,3,grey_onset,12402
AL38_Infant_Slinky,21,4,3,still_onset,12492
AL38_Infant_Slinky,21,4,3,event_onset,12582
AL38_Infant_Slinky,21,4,3,boundary,12642
AL38_Infant_Slinky,21,4,3,trial_offset,12851
SF28_Adult_OballStacker,22,4,4,grey_onset,12952
SF28_Adult_OballStacker,22,4,4,still_onset,13042
SF28_Adult_OballStacker,22,4,4,event_onset,13132
SF28_Adult_OballStacker,22,4,4,boundary,13425
SF28_Adult_OballStacker,22,4,4,trial_offset,13492
SA03_Adult_GreenTube,23,4,5,grey_onset,13593
SA03_Adult_GreenTube,23,4,5,still_onset,13683
SA03_Adult_GreenTube,23,4,5,event_onset,13773
SA03_Adult_GreenTube,23,4,5,boundary,13947
SA03_Adult_GreenTube,23,4,5,trial_offset,14043
CN14_Infant_StickyBall,24,4,6,grey_onset,14142
CN14_Infant_StickyBall,24,4,6,still_onset,14232
CN14_Infant_StickyBall,24,4,6,event_onset,14322
CN14_Infant_StickyBall,24,4,6,boundary,14411
CN14_Infant_StickyBall,24,4,6,trial_offset,14532
OH29_Infant_MassageRoller,25,5,1,grey_onset,14874
OH29_Infant_MassageRoller,25,5,1,still_onset,14964
OH29_Infant_MassageRoller,25,5,1,event_onset,15054
OH29_Infant_MassageRoller,25,5,1,boundary,15172
OH29_Infant_MassageRoller,25,5,1,trial_offset,15354
HH09_Adult_TwistyGlasses,26,5,2,grey_onset,15453
HH09_Adult_TwistyGlasses,26,5,2,still_onset,15543
HH09_Adult_TwistyGlasses,26,5,2,event_onset,15633
HH09_Adult_TwistyGlasses,26,5,2,boundary,15741
HH09_Adult_TwistyGlasses,26,5,2,trial_offset,15813
SF28_Adult_OballStacker,27,5,3,grey_onset,15914
SF28_Adult_OballStacker,27,5,3,still_onset,16004
SF28_Adult_OballStacker,27,5,3,event_onset,16094
SF28_Adult_OballStacker,27,5,3,boundary,16387
SF28_Adult_OballStacker,27,5,3,trial_offset,16454
AL38_Infant_Slinky,28,5,4,grey_onset,16556
AL38_Infant_Slinky,28,5,4,still_onset,16646
AL38_Infant_Slinky,28,5,4,event_onset,16736
AL38_Infant_Slinky,28,5,4,boundary,16796
AL38_Infant_Slinky,28,5,4,trial_offset,17005
CN14_Infant_StickyBall,29,5,5,grey_onset,17105
CN14_Infant_StickyBall,29,5,5,still_onset,17195
CN14_Infant_StickyBall,29,5,5,event_onset,17285
CN14_Infant_StickyBall,29,5,5,boundary,17374
CN14_Infant_StickyBall,29,5,5,trial_offset,17495
SA03_Adult_GreenTube,30,5,6,grey_onset,17597
SA03_Adult_GreenTube,30,5,6,still_onset,17687
SA03_Adult_GreenTube,30,5,6,event_onset,17777
SA03_Adult_GreenTube,30,5,6,boundary,17951
SA03_Adult_GreenTube,30,5,6,trial_offset,18047
HH09_Adult_TwistyGlasses,31,6,1,grey_onset,18387
HH09_Adult_TwistyGlasses,31,6,1,still_onset,18477
HH09_Adult_TwistyGlasses,31,6,1,event_onset,18567
HH09_Adult_TwistyGlasses,31,6,1,boundary,18675
HH09_Adult_TwistyGlasses,31,6,1,trial_offset,18747
OH29_Infant_MassageRoller,32,6,2,grey_onset,18847
OH29_Infant_MassageRoller,32,6,2,still_onset,18937
OH29_Infant_MassageRoller,32,6,2,event_onset,19027
OH29_Infant_MassageRoller,32,6,2,boundary,19145
OH29_Infant_MassageRoller,32,6,2,trial_offset,19327
AL38_Infant_Slinky,33,6,3,grey_onset,19429
AL38_Infant_Slinky,33,6,3,still_onset,19519
AL38_Infant_Slinky,33,6,3,event_onset,19609
AL38_Infant_Slinky,33,6,3,boundary,19669
AL38_Infant_Slinky,33,6,3,trial_offset,19878
SF28_Adult_OballStacker,34,6,4,grey_onset,19979
SF28_Adult_OballStacker,34,6,4,still_onset,20069
SF28_Adult_OballStacker,34,6,4,event_onset,20159
SF28_Adult_OballStacker,34,6,4,boundary,20452
SF28_Adult_OballStacker,34,6,4,trial_offset,20519
SA03_Adult_GreenTube,35,6,5,grey_onset,20619
SA03_Adult_GreenTube,35,6,5,still_onset,20709
SA03_Adult_GreenTube,35,6,5,event_onset,20799
SA03_Adult_GreenTube,35,6,5,boundary,20973
SA03_Adult_GreenTube,35,6,5,trial_offset,21069
CN14_Infant_StickyBall,36,6,6,grey_onset,21167
CN14_Infant_StickyBall,36,6,6,still_onset,21257
CN14_Infant_StickyBall,36,6,6,event_onset,21347
CN14_Infant_StickyBall,36,6,6,boundary,21436
CN14_Infant_StickyBall,36,6,6,trial_offset,21557