subid,block,inBlock_trial_number,status,remove_reason,notes
bf022,2,5,remove,fussiness,
bf022,2,6,remove,fussiness,
bf022,3,1,remove,fussiness,
bf022,3,2,remove,fussiness,
bf022,3,3,remove,fussiness,
bf022,3,4,remove,fussiness,
bf022,3,5,remove,fussiness,
bf022,3,6,remove,fussiness,
bf022,4,1,remove,fussiness,
bf022,4,2,remove,fussiness,
bf022,4,3,remove,fussiness,
bf022,4,4,remove,fussiness,
bf022,4,5,remove,fussiness,
bf022,4,6,remove,fussiness,
bf022,5,1,remove,fussiness,
bf022,5,2,remove,fussiness,
bf022,5,3,remove,fussiness,
bf022,5,4,remove,fussiness,
bf022,5,5,remove,fussiness,
bf022,5,6,remove,fussiness,
bf022,6,1,remove,fussiness,
bf022,6,2,remove,fussiness,
bf022,6,3,remove,fussiness,
bf022,6,4,remove,fussiness,
bf022,6,5,remove,fussiness,
bf022,6,6,remove,fussiness,
bj020,5,4,remove,fussiness,
bj020,5,5,remove,fussiness,
bj020,5,6,remove,fussiness,
cl007,5,4,remove,fussiness,
cl007,5,5,remove,fussiness,
cl007,5,6,remove,fussiness,
cs025,4,1,remove,fussiness,
cs025,4,2,remove,fussiness,
cs025,4,3,remove,fussiness,
cs025,4,4,remove,fussiness,
cs025,4,5,remove,fussiness,
cs025,4,6,remove,fussiness,
cs025,5,1,remove,fussiness,
cs025,5,2,remove,fussiness,
cs025,5,3,remove,fussiness,
cs025,5,4,remove,fussiness,
cs025,5,5,remove,fussiness,
cs025,5,6,remove,fussiness,
cs025,6,1,remove,fussiness,
cs025,6,2,remove,fussiness,
cs025,6,3,remove,fussiness,
cs025,6,4,remove,fussiness,
cs025,6,5,remove,fussiness,
cs025,6,6,remove,fussiness,
ct016,6,5,remove,fussiness,
ct016,6,6,remove,fussiness,
gc028,1,1,remove,fussiness,
gc028,1,2,remove,fussiness,
gc028,1,3,remove,fussiness,
gc028,1,4,remove,fussiness,
gc028,1,5,remove,fussiness,
gc028,1,6,remove,fussiness,
gc028,5,6,remove,fussiness,
gc028,6,1,remove,fussiness,
gc028,6,2,remove,fussiness,
gc028,6,3,remove,fussiness,
ki009,6,1,remove,fussiness,
ki009,6,2,remove,fussiness,
om014,1,6,remove,fussiness,
om014,2,6,remove,fussiness,
om014,5,1,remove,fussiness,
om014,5,2,remove,fussiness,
om014,5,3,remove,fussiness,
om014,5,4,remove,fussiness,
om014,5,5,remove,fussiness,
om014,5,6,remove,fussiness,
om014,6,1,remove,fussiness,
om014,6,2,remove,fussiness,
om014,6,3,remove,fussiness,
om014,6,4,remove,fussiness,
om014,6,5,remove,fussiness,
om014,6,6,remove,fussiness,
pl024,3,1,remove,fussiness,
pl024,3,2,remove,fussiness,
pl024,3,3,remove,fussiness,
pl024,3,4,remove,fussiness,
pl024,3,5,remove,fussiness,
pl024,3,6,remove,fussiness,
pl024,4,1,remove,fussiness,
pl024,4,2,remove,fussiness,
pl024,4,3,remove,fussiness,
pl024,4,4,remove,fussiness,
pl024,4,5,remove,fussiness,
pl024,4,6,remove,fussiness,
pl024,5,1,remove,fussiness,
pl024,5,2,remove,fussiness,
pl024,5,3,remove,fussiness,
pl024,5,4,remove,fussiness,
pl024,5,5,remove,fussiness,
pl024,5,6,remove,fussiness,
pl024,6,1,remove,fussiness,
pl024,6,2,remove,fussiness,
pl024,6,3,remove,fussiness,
pl024,6,4,remove,fussiness,
pl024,6,5,remove,fussiness,
pl024,6,6,remove,fussiness,
pm021,2,1,remove,fussiness,
pm021,2,2,remove,fussiness,
pm021,2,3,remove,fussiness,
pm021,2,4,remove,fussiness,
pm021,2,5,remove,fussiness,
pm021,2,6,remove,fussiness,
pm021,3,1,remove,fussiness,
pm021,3,2,remove,fussiness,
pm021,3,3,remove,fussiness,
pm021,3,4,remove,fussiness,
pm021,3,5,remove,fussiness,
pm021,3,6,remove,fussiness,
pm021,4,1,remove,fussiness,
pm021,4,2,remove,fussiness,
pm021,4,3,remove,fussiness,
pm021,4,4,remove,fussiness,
pm021,4,5,remove,fussiness,
pm021,4,6,remove,fussiness,
pm021,5,1,remove,fussiness,
pm021,5,2,remove,fussiness,
pm021,5,3,remove,fussiness,
pm021,5,4,remove,fussiness,
pm021,5,5,remove,fussiness,
pm021,5,6,remove,fussiness,
pm021,6,1,remove,fussiness,
pm021,6,2,remove,fussiness,
pm021,6,3,remove,fussiness,
pm021,6,4,remove,fussiness,
pm021,6,5,remove,fussiness,
pm021,6,6,remove,fussiness,
ps017,6,1,remove,fussiness,
ps017,6,2,remove,fussiness,
ps017,6,3,remove,fussiness,
ps017,6,4,remove,fussiness,
ps017,6,5,remove,fussiness,
ps017,6,6,remove,fussiness,
re027,3,1,remove,fussiness,
re027,3,2,remove,fussiness,
re027,3,3,remove,fussiness,
re027,3,4,remove,fussiness,
re027,3,5,remove,fussiness,
re027,3,6,remove,fussiness,
re027,4,1,remove,fussiness,
re027,4,2,remove,fussiness,
re027,4,3,remove,fussiness,
re027,4,4,remove,fussiness,
re027,4,5,remove,fussiness,
re027,4,6,remove,fussiness,
re027,5,1,remove,fussiness,
re027,5,2,remove,fussiness,
re027,5,3,remove,fussiness,
re027,5,4,remove,fussiness,
re027,5,5,remove,fussiness,
re027,5,6,remove,fussiness,
re027,6,1,remove,fussiness,
re027,6,2,remove,fussiness,
re027,6,3,remove,fussiness,
re027,6,4,remove,fussiness,
re027,6,5,remove,fussiness,
re027,6,6,remove,fussiness,
sb010,3,1,remove,fussiness,
sb010,3,2,remove,fussiness,
sb010,3,3,remove,fussiness,
sb010,3,4,remove,fussiness,
sb010,3,5,remove,fussiness,
sb010,3,6,remove,fussiness,
sb010,4,1,remove,fussiness,
sb010,4,2,remove,fussiness,
sb010,4,3,remove,fussiness,
sb010,4,4,remove,fussiness,
sb010,4,5,remove,fussiness,
sb010,4,6,remove,fussiness,
sb010,5,1,remove,fussiness,
sb010,5,2,remove,fussiness,
sb010,5,3,remove,fussiness,
sl018,3,1,remove,fussiness,
sl018,3,2,remove,fussiness,
sl018,3,3,remove,fussiness,
sl018,3,4,remove,fussiness,
sl018,3,5,remove,fussiness,
sl018,3,6,remove,fussiness,
sl018,4,1,remove,fussiness,
sl018,4,2,remove,fussiness,
sl018,4,3,remove,fussiness,
sl018,4,4,remove,fussiness,
sl018,4,5,remove,fussiness,
sl018,4,6,remove,fussiness,
sl018,5,1,remove,fussiness,
sl018,5,2,remove,fussiness,
sl018,5,3,remove,fussiness,
sl018,5,4,remove,fussiness,
sl018,5,5,remove,fussiness,
sl018,5,6,remove,fussiness,
sl018,6,1,remove,fussiness,
sl018,6,2,remove,fussiness,
sl018,6,3,remove,fussiness,
sl018,6,4,remove,fussiness,
sl018,6,5,remove,fussiness,
sl018,6,6,remove,fussiness,
ae015,4,1,remove,low_looking,
ae015,6,1,remove,low_looking,
ae015,6,3,remove,low_looking,
ae015,6,5,remove,low_looking,
bj020,4,6,remove,low_looking,
cl007,4,2,remove,low_looking,
cl007,6,3,remove,low_looking,
cn011,4,3,remove,low_looking,
cn011,6,2,remove,low_looking,
cn011,6,6,remove,low_looking,
cs025,2,1,remove,low_looking,
cs025,2,6,remove,low_looking,
ct016,2,1,remove,low_looking,
ct016,2,6,remove,low_looking,
ct016,4,3,remove,low_looking,
ct016,4,6,remove,low_looking,
ct016,5,6,remove,low_looking,
gc028,2,2,remove,low_looking,
gc028,2,4,remove,low_looking,
gc028,2,6,remove,low_looking,
gc028,3,2,remove,low_looking,
gc028,3,3,remove,low_looking,
gc028,4,2,remove,low_looking,
gc028,4,3,remove,low_looking,
gc028,4,6,remove,low_looking,
gc028,5,1,remove,low_looking,
gc028,5,4,remove,low_looking,
hc002,2,3,remove,low_looking,
hc002,2,4,remove,low_looking,
hc002,3,3,remove,low_looking,
hc002,5,3,remove,low_looking,
ht003,4,2,remove,low_looking,
ht003,4,4,remove,low_looking,
ht003,5,2,remove,low_looking,
ht003,5,3,remove,low_looking,
ki009,4,4,remove,low_looking,
ki009,4,5,remove,low_looking,
ki009,4,6,remove,low_looking,
ki009,5,5,remove,low_looking,
ki009,6,3,remove,low_looking,
ki009,6,4,remove,low_looking,
ki009,6,5,remove,low_looking,
ki009,6,6,remove,low_looking,
la004,1,6,remove,low_looking,
la004,2,4,remove,low_looking,
la004,3,3,remove,low_looking,
la004,3,6,remove,low_looking,
la004,4,3,remove,low_looking,
la004,5,1,remove,low_looking,
la004,5,3,remove,low_looking,
mg023,3,2,remove,low_looking,
mg023,3,3,remove,low_looking,
mo008,3,1,remove,low_looking,
mo008,3,2,remove,low_looking,
mo008,3,6,remove,low_looking,
mo008,4,2,remove,low_looking,
mo008,5,2,remove,low_looking,
mo008,6,3,remove,low_looking,
mo008,6,4,remove,low_looking,
om014,4,5,remove,low_looking,
pl024,1,3,remove,low_looking,
pl024,1,6,remove,low_looking,
pp006,2,6,remove,low_looking,
sb010,6,1,remove,low_looking,
sb010,6,4,remove,low_looking,
sj005,2,5,remove,low_looking,
sj005,3,5,remove,low_looking,
bf029,1,4,remove,low_looking,
bf029,5,2,remove,low_looking,
bl032,6,1,remove,low_looking,
dr033,3,5,remove,low_looking,
dr033,5,4,remove,low_looking,
dr033,5,5,remove,low_looking,
dr033,5,6,remove,low_looking,
dr033,6,4,remove,low_looking,
dr033,6,5,remove,low_looking,
gr035,1,2,remove,low_looking,
gr035,2,4,remove,low_looking,
gr035,2,5,remove,low_looking,
gr035,2,6,remove,low_looking,
gr035,3,2,remove,low_looking,
gr035,3,5,remove,low_looking,
rd034,4,4,remove,low_looking,
rd034,5,4,remove,low_looking,
rd034,5,6,remove,low_looking,
rd034,6,5,remove,low_looking,
rd034,6,6,remove,low_looking,
wr030,1,4,remove,low_looking,
wr030,1,6,remove,low_looking,
wr030,3,1,remove,low_looking,
wr030,3,2,remove,low_looking,"not low looking, but removed because low looking for more than 50% of block"
wr030,3,3,remove,low_looking,"not low looking, but removed because low looking for more than 50% of block"
wr030,3,4,remove,low_looking,
wr030,3,5,remove,low_looking,
wr030,3,6,remove,low_looking,
wr030,4,2,remove,low_looking,
wr030,4,3,remove,low_looking,
wr030,5,6,remove,low_looking,
wr030,6,3,remove,low_looking,
wr030,6,6,remove,low_looking,